ts_code,period,dcf_equity_value_ttm,dcf_equity_value_ttm_growth_r,total_mv,symbol,name,area,industry,market,list_date,list_status
000004.SZ,2021Q3,,,296093.7433,000004,*ST国华,深圳,软件服务,主板,19901201,L
000004.SZ,2021Q4,216507380.1834101,216507380.1834101,302957.8765,000004,*ST国华,深圳,软件服务,主板,19901201,L
000004.SZ,2022Q1,518731493.5110686,518731493.5110686,312162.055,000004,*ST国华,深圳,软件服务,主板,19901201,L
000004.SZ,2022Q2,241138523.359056,241138523.359056,138998.6962,000004,*ST国华,深圳,软件服务,主板,19901201,L
000004.SZ,2022Q3,598451840.2156004,598451840.2156004,112123.7188,000004,*ST国华,深圳,软件服务,主板,19901201,L
000004.SZ,2022Q4,,,128596.8717,000004,*ST国华,深圳,软件服务,主板,19901201,L
000004.SZ,2023Q1,,,131519.5279,000004,*ST国华,深圳,软件服务,主板,19901201,L
000004.SZ,2023Q2,,,202593.2122,000004,*ST国华,深圳,软件服务,主板,19901201,L
000004.SZ,2023Q3,,,212205.592,000004,*ST国华,深圳,软件服务,主板,19901201,L
000004.SZ,2023Q4,,,213529.3949,000004,*ST国华,深圳,软件服务,主板,19901201,L
000004.SZ,2024Q1,,,199232.3244,000004,*ST国华,深圳,软件服务,主板,19901201,L
000004.SZ,2024Q2,,,154090.6482,000004,*ST国华,深圳,软件服务,主板,19901201,L
000004.SZ,2024Q3,,,215779.8597,000004,*ST国华,深圳,软件服务,主板,19901201,L
000004.SZ,2024Q4,,,183214.3103,000004,*ST国华,深圳,软件服务,主板,19901201,L
000004.SZ,2025Q1,,,128938.3947,000004,*ST国华,深圳,软件服务,主板,19901201,L
000004.SZ,2025Q2,,,117156.5496,000004,*ST国华,深圳,软件服务,主板,19901201,L
000004.SZ,2025Q3,,,147206.8736,000004,*ST国华,深圳,软件服务,主板,19901201,L
000004.SZ,2025Q4,854211455.7065991,180738887.53766662,146677.3525,000004,*ST国华,深圳,软件服务,主板,19901201,L
000004.SZ,2026Q1,810201992.8359637,191148297.7193006,60497.7889,000004,*ST国华,深圳,软件服务,主板,19901201,L
000004.SZ,2026Q2,,,36536.9578,000004,*ST国华,深圳,软件服务,主板,19901201,L
000006.SZ,1993Q4,,,,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,1994Q4,,,,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,1995Q4,,,,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,1996Q4,,,,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,1997Q4,,,,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,1998Q4,,,,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,1999Q4,,,,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2000Q4,,,,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2001Q4,,,,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2002Q4,,,,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2004Q4,,,,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2005Q4,,,,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2006Q4,,,,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2007Q4,,,,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2008Q4,,,,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2009Q4,,,,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2010Q4,,,,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2011Q4,,,,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2012Q4,,,,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2013Q4,,,,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2014Q1,,,727647.3298,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2014Q2,,,618297.7311,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2014Q3,,,791097.097,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2014Q4,,,951746.5074,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2015Q1,,,1187995.6405,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2015Q2,,,1831943.2774,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2015Q3,,,1268995.3432,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2015Q4,,,1553844.2979,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2016Q1,23028854793.43267,23028854793.43267,1120495.8882,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2016Q2,35833219149.87685,35833219149.87685,994946.3489,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2016Q3,54616832353.81739,54616832353.81739,1304095.2144,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2016Q4,45470339509.6918,45470339509.6918,1275745.3185,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2017Q1,34056605036.62183,34056605036.62183,1117795.8981,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2017Q2,40045437338.87724,40045437338.87724,1189345.6355,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2017Q3,36842711727.87189,36842711727.87189,1329745.1203,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2017Q4,20962160884.412678,20962160884.412678,1329745.1203,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2018Q1,13843729494.008244,13843729494.008244,994946.3489,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
